Kd_Prov,Provinsi,Jumlah_Pelanggan,Skala_Kawasan,Skala_Permukiman,Skala_Kota
94,Papua,31348,1,0,5
34,D.I. Yogyakarta,25594,93,235,2
33,Jawa Tengah,24941,17,554,6
32,Jawa Barat,13407,3,198,11
35,Jawa Timur,6296,23,335,8
51,Bali,6165,0,112,0
64,Kalimantan Timur,6113,9,73,3
36,Banten,4158,5,21,0
62,Kalimantan Tengah,3781,3,88,1
17,Bengkulu,2858,2,79,0
21,Kepulauan Riau,2617,0,90,0
11,Aceh,2108,1,162,1
15,Jambi,1632,2,51,2
18,Lampung,1440,10,143,3
13,Sumatera Barat,1134,42,41,0
14,Riau,829,0,121,0
81,Maluku,735,1,10,3
73,Sulawesi Selatan,683,7,75,7
16,Sumatera Selatan,680,7,52,0
74,Sulawesi Tenggara,578,2,43,1
19,Kepulauan Bangka Belitung,380,8,109,0
52,Nusa Tenggara Barat,335,1,63,0
65,Kalimantan Utara,333,2,13,0
53,Nusa Tenggara Timur,214,5,151,0
82,Maluku Utara,88,2,55,1
71,Sulawesi Utara,50,0,48,0
63,Kalimantan Selatan,22,1,14,4
12,Sumatera Utara,0,1,0,0
31,DKI Jakarta,0,0,3,0
61,Kalimantan Barat,0,0,1,0
72,Sulawesi Tengah,0,0,0,0
75,Gorontalo,0,0,68,1
76,Sulawesi Barat,0,0,16,0
91,Papua Barat,0,5,0,0
